Date,Open,High,Low,Close,Adj Close,Volume
2016-04-12,109.339996,112.389999,106.940002,107.480003,103.615730,193736500
2016-04-19,107.879997,108.089996,104.510002,105.080002,101.302032,156263100
2016-04-26,103.910004,105.300003,92.400002,93.639999,90.273338,369552600
2016-05-03,94.199997,95.900002,91.849998,92.790001,89.453903,210141900
2016-05-10,93.330002,94.389999,89.470001,93.879997,91.055740,244373200
2016-05-17,94.550003,97.190002,93.010002,96.430000,93.529015,189466000
2016-05-24,97.220001,100.730003,96.839996,100.349998,97.331093,165869700
2016-05-31,99.599998,101.889999,96.629997,98.629997,95.662834,163027500
2016-06-07,99.250000,99.989998,97.099998,97.339996,94.411644,139592400
2016-06-14,97.320000,98.480003,95.029999,95.099998,92.239037,188124000
2016-06-21,94.940002,96.889999,91.500000,92.040001,89.271095,217806700
2016-06-28,92.900002,96.470001,92.139999,95.889999,93.005264,138838800
2016-07-05,95.389999,97.650002,94.370003,96.980003,94.062469,136500900
2016-07-12,97.169998,100.129997,96.839996,99.830002,96.826736,155609600
2016-07-19,99.559998,101.000000,96.919998,97.339996,94.411644,151454500
2016-07-26,96.820000,106.150002,96.419998,106.050003,102.859612,254356000
2016-08-02,106.050003,108.370003,104.000000,108.370003,105.109833,160018500
2016-08-09,108.230003,109.540001,107.760002,109.480003,106.761665,122336800
2016-08-16,109.629997,110.230003,107.849998,108.510002,105.815750,132323400
2016-08-23,108.589996,109.320000,106.290001,106.820000,104.167709,122755600
2016-08-30,105.800003,108.000000,105.500000,107.730003,105.055122,108030300
2016-09-06,107.900002,108.760002,102.529999,105.440002,102.821976,214096500
2016-09-13,107.510002,116.180000,107.239998,113.580002,110.759865,389958400
2016-09-20,113.050003,114.940002,111.550003,112.879997,110.077232,183942100
2016-09-27,113.000000,114.639999,111.800003,112.519997,109.726181,148216400
2016-10-04,113.059998,116.750000,112.629997,116.050003,113.168541,140563600
2016-10-11,117.699997,118.690002,115.720001,117.550003,114.631294,196097300
2016-10-18,118.180000,118.209999,113.800003,117.650002,114.728798,115445300
2016-10-25,117.949997,118.360001,113.199997,113.540001,110.720856,213106300
2016-11-01,113.459999,113.769997,108.110001,110.410004,107.668579,162487100
2016-11-08,110.309998,111.720001,104.080002,105.709999,103.614532,225635000
2016-11-15,106.570000,111.989998,106.160004,111.730003,109.515198,176430500
2016-11-22,111.949997,112.470001,110.330002,111.570000,109.358376,92061800
2016-11-29,110.779999,112.199997,108.250000,109.110001,106.947136,162630500
2016-12-06,109.500000,115.000000,109.160004,113.300003,111.054085,144039500
2016-12-13,113.839996,117.379997,113.750000,116.639999,114.327873,196420600
2016-12-20,116.739998,117.500000,115.589996,116.519997,114.210243,85475300
2016-12-27,116.519997,118.019997,115.430000,115.820000,113.524132,84828600
2017-01-03,115.800003,119.430000,114.760002,118.989998,116.631294,137407400
2017-01-10,118.769997,119.930000,118.209999,119.040001,116.680298,105248800
2017-01-17,118.339996,120.809998,118.220001,120.080002,117.699684,138398200
2017-01-24,119.550003,122.440002,119.500000,121.629997,119.218948,132866600
2017-01-31,121.150002,130.500000,120.620003,130.289993,127.707291,246249600
2017-02-07,130.539993,133.820007,130.449997,133.289993,130.647812,132638700
2017-02-14,133.470001,136.270004,133.250000,135.720001,133.606430,113632100
2017-02-21,136.229996,137.479996,135.279999,136.929993,134.797562,108166300
2017-02-28,137.080002,140.279999,136.699997,139.339996,137.170044,128966600
2017-03-07,139.059998,139.979996,137.050003,139.199997,137.032211,95343900
2017-03-14,139.300003,141.500000,138.839996,141.460007,139.257034,125659900
2017-03-21,142.110001,142.800003,138.619995,140.880005,138.686066,131707100
2017-03-28,140.910004,144.500000,140.619995,143.699997,141.462158,123419500
2017-04-04,143.250000,145.460007,142.899994,143.169998,140.940399,104363900
2017-04-11,142.940002,143.350006,140.059998,141.830002,139.621262,85134400
2017-04-18,141.410004,143.949997,140.449997,143.639999,141.403061,89800700
2017-04-25,143.910004,147.199997,143.270004,146.580002,144.297287,107622300
2017-05-02,147.539993,153.699997,144.270004,153.009995,150.627151,190501200
2017-05-09,153.869995,156.649994,152.110001,155.699997,153.275253,150727900
2017-05-16,155.940002,156.059998,149.710007,153.990005,152.217606,154311600
2017-05-23,154.899994,154.899994,152.669998,153.610001,151.841980,80033600
2017-05-30,153.419998,155.449997,152.220001,153.929993,152.158295,114084600
2017-06-06,153.899994,155.979996,142.509995,145.419998,143.746231,206135300
2017-06-13,147.160004,147.500000,142.199997,146.339996,144.655655,180764500
2017-06-20,146.869995,148.279999,144.610001,145.820007,144.141663,126404000
2017-06-27,145.009995,146.160004,142.279999,143.500000,141.848343,115626100
2017-07-04,143.690002,145.949997,142.410004,145.059998,143.390381,85990700
2017-07-11,144.729996,150.899994,144.380005,149.559998,147.838593,113791300
2017-07-18,149.199997,152.440002,148.669998,152.089996,150.339478,103781300
2017-07-25,151.800003,153.990005,147.300003,148.729996,147.018143,104170800
2017-08-01,149.100006,159.750000,148.410004,158.809998,156.982132,174832900
2017-08-08,158.600006,161.830002,154.630005,159.850006,158.010162,151521500
2017-08-15,160.660004,162.509995,155.110001,157.210007,156.010803,138874300
2017-08-22,158.229996,162.000000,158.020004,161.470001,160.238312,112268700
2017-08-29,160.100006,164.940002,160.000000,164.050003,162.798615,100162700
2017-09-05,163.750000,164.250000,158.529999,161.500000,160.268082,132746100
2017-09-12,162.610001,163.960007,157.910004,158.669998,157.459656,217766100
2017-09-19,159.509995,159.770004,149.160004,150.550003,149.401596,202306400
2017-09-26,151.779999,154.720001,151.690002,153.809998,152.636734,129168300
2017-10-03,154.009995,156.729996,152.460007,155.839996,154.651245,91348400
2017-10-10,156.059998,160.000000,155.100006,159.880005,158.660431,89163400
2017-10-17,159.779999,160.869995,155.020004,156.169998,154.978729,123914100
2017-10-24,156.289993,168.070007,155.270004,166.720001,165.448257,145119800
2017-10-31,167.899994,174.990005,165.279999,174.250000,172.920822,205502900
2017-11-07,173.910004,176.240005,173.139999,173.970001,172.642960,120381200
2017-11-14,173.039993,173.479996,168.380005,169.979996,169.289780,115740000
2017-11-21,170.779999,175.500000,170.779999,174.089996,173.383087,85463700
2017-11-28,174.300003,174.869995,167.160004,169.800003,169.110519,181924100
2017-12-05,169.059998,172.889999,166.460007,172.669998,171.968857,140212500
2017-12-12,172.149994,177.199997,171.460007,176.419998,175.703629,133294500
2017-12-19,175.029999,176.020004,173.250000,175.009995,174.299362,88211300
2017-12-26,170.800003,171.850006,169.220001,169.229996,168.542831,97163800
